Предмет,Количество,Стаков по 64,Остаток,Minecraft ID
Каменные кирпичи,688,10,48,minecraft:stone_bricks
Голубой бетон,142,2,14,minecraft:light_blue_concrete
Редстоуновая пыль,119,1,55,minecraft:redstone
Редстоуновый повторитель,23,0,23,minecraft:repeater
Липкий поршень,12,0,12,minecraft:sticky_piston
Оранжевый бетон,7,0,7,minecraft:orange_concrete
Редстоуновый компаратор,6,0,6,minecraft:comparator
Лаймовый бетон,5,0,5,minecraft:lime_concrete
Редстоуновый факел,2,0,2,minecraft:redstone_torch
Рычаг,1,0,1,minecraft:lever
Каменная кнопка,1,0,1,minecraft:stone_button
Жёлтый бетон,1,0,1,minecraft:yellow_concrete
